run_id,case_name,changed_factor,changed_level,sigma_deg,phi_deg,z_p_m,w_p_m,l_p_m,x_p_m,y_p_m,total_co2eq_displaced,total_profit,status,error_message
1,nominal,none,nominal,35,0,2.5,1,1.5,0.1,4,96829.4056922679,320339.092356167,ok,
2,sigma_deg_low,sigma_deg,low,10,0,2.5,1,1.5,0.1,4,98209.073551764,323896.06342543,ok,
3,sigma_deg_high,sigma_deg,high,60,0,2.5,1,1.5,0.1,4,81633.1360847991,270832.62246596,ok,
4,phi_deg_low,phi_deg,low,35,-45,2.5,1,1.5,0.1,4,89433.5476908918,305471.785544961,ok,
5,phi_deg_high,phi_deg,high,35,45,2.5,1,1.5,0.1,4,95412.9370919832,305227.706559184,ok,
6,z_p_m_low,z_p_m,low,35,0,1.5,1,1.5,0.1,4,96829.4056922679,320338.472388845,ok,
7,z_p_m_high,z_p_m,high,35,0,3.5,1,1.5,0.1,4,96829.4056922679,320339.207603803,ok,
8,w_p_m_low,w_p_m,low,35,0,2.5,0.5,1.5,0.1,4,89298.2296939804,295426.851198245,ok,
9,w_p_m_high,w_p_m,high,35,0,2.5,1.5,1.5,0.1,4,100057.052548677,331015.379466082,ok,
10,l_p_m_low,l_p_m,low,35,0,2.5,1,0.5,0.1,4,39449.0171338869,130530.465290933,ok,
11,l_p_m_high,l_p_m,high,35,0,2.5,1,2.5,0.1,4,125519.599971458,415243.325503562,ok,
12,x_p_m_low,x_p_m,low,35,0,2.5,1,1.5,0.02,4,105436.463976025,348810.511447006,ok,
13,x_p_m_high,x_p_m,high,35,0,2.5,1,1.5,0.25,4,86070.5828375715,284749.742085265,ok,
14,y_p_m_low,y_p_m,low,35,0,2.5,1,1.5,0.1,2,150623.51996575,498284.888045594,ok,
15,y_p_m_high,y_p_m,high,35,0,2.5,1,1.5,0.1,6,64552.9371281786,213571.661394906,ok,
